NATMON_IND,Indicateur,LOCATION,Pays,TIME,Temps,Value,Flag Codes,Flags,Notes moyennes
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",GRD,Grenade,2017,2017,23.0,,,10.871292997015408
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",GRD,Grenade,2018,2018,21.0,,,10.202183974403257
E_5T8_FOREIGN_ORG40505,"Etudiants internationaux dans le pays d'accueil d'Asie centrale, les deux sexes (nombre)",40650,Océanie,2017,2017,1127.77327,,,18.32619845547938
E_5T8_FOREIGN_ORG40505,"Etudiants internationaux dans le pays d'accueil d'Asie centrale, les deux sexes (nombre)",40650,Océanie,2018,2018,1418.80571,,,17.781567509498505
E_5T8_FOREIGN_ORG40505,"Etudiants internationaux dans le pays d'accueil d'Asie centrale, les deux sexes (nombre)",40650,Océanie,2019,2019,1677.6326,,,18.70012148246819
E_5T8_FOREIGN_ORG40505,"Etudiants internationaux dans le pays d'accueil d'Asie centrale, les deux sexes (nombre)",40650,Océanie,2020,2020,1878.26235,,,19.78618342232764
E_5T8_FOREIGN_ORG40505,"Etudiants internationaux dans le pays d'accueil d'Asie centrale, les deux sexes (nombre)",40650,Océanie,2021,2021,1793.6,,,17.991585642167237
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",RUS,Fédération de Russie,2017,2017,16240.0,,,14.61479362252932
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",RUS,Fédération de Russie,2018,2018,18914.0,,,17.805291762864556
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",RUS,Fédération de Russie,2019,2019,22035.0,,,11.182744258689333
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",LSO,Lesotho,2017,2017,,n,Chiffre nul ou négligeable,16.39921021327524
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",LSO,Lesotho,2018,2018,,n,Chiffre nul ou négligeable,11.433532874090464
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",ITA,Italie,2017,2017,7107.0,,,19.446689170495837
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",ITA,Italie,2018,2018,7968.0,,,15.218483217500717
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",ITA,Italie,2019,2019,2881.0,,,14.146619399905235
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",ITA,Italie,2020,2020,2799.0,,,12.645556121046269
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",ITA,Italie,2021,2021,5809.0,,,17.742336894342166
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",BEL,Belgique,2017,2017,27227.0,,,14.561503322165485
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",BEL,Belgique,2018,2018,22578.0,,,15.684339488686485
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",BEL,Belgique,2019,2019,26248.0,,,10.187898004363552
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",BEL,Belgique,2020,2020,29317.0,,,16.176354970758773
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",BEL,Belgique,2021,2021,30286.0,,,16.120957227224213
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",GIN,Guinée,2017,2017,,n,Chiffre nul ou négligeable,16.16933996874757
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",EGY,Égypte,2020,2020,1763.0,,,19.437480785146242
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",40620,Europe,2017,2017,148346.99538,,,16.818202991034834
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",40620,Europe,2018,2018,140180.33187,,,13.59507900573786
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",40620,Europe,2019,2019,146259.75788,,,14.370319537993414
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",40620,Europe,2020,2020,131439.11751,,,16.97631195927265
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",40620,Europe,2021,2021,139886.35229,,,10.602254716292698
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",SWE,Suède,2017,2017,10019.0,,,16.667667154456677
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",SWE,Suède,2018,2018,10605.0,,,16.706378696181595
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",SWE,Suède,2019,2019,10484.55054,,,12.103825610738408
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",SWE,Suède,2020,2020,10440.16907,,,11.289262976548534
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",SWE,Suède,2021,2021,10523.87055,,,13.15428350924184
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",BHR,Bahreïn,2017,2017,76.0,,,13.637107709426227
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",BHR,Bahreïn,2018,2018,65.0,,,15.701967704178797
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",BHR,Bahreïn,2019,2019,60.0,,,14.386015134623204
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",BHR,Bahreïn,2020,2020,87.0,,,19.883738380592263
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",BHR,Bahreïn,2021,2021,84.0,,,11.02044810748028
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",BHR,Bahreïn,2022,2022,81.0,,,12.088767560948348
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",EST,Estonie,2017,2017,347.0,,,11.613095178849962
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",EST,Estonie,2018,2018,445.0,,,16.531083254653986
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",EST,Estonie,2019,2019,656.0,,,12.532916025397821
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",EST,Estonie,2020,2020,853.0,,,14.663107728563062
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",EST,Estonie,2021,2021,831.0,,,12.444255920016028
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",THA,Thaïlande,2020,2020,1882.0,,,11.589695836455197
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",THA,Thaïlande,2022,2022,1666.0,,,11.103751411643051
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",THA,Thaïlande,2023,2023,1691.0,,,16.563295894652732
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",FIN,Finlande,2017,2017,4319.0,,,11.381829513486139
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",FIN,Finlande,2018,2018,4620.0,,,11.965823616800535
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",FIN,Finlande,2019,2019,4904.0,,,13.68725170660964
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",FIN,Finlande,2020,2020,5162.0,,,18.20993229847935
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",FIN,Finlande,2021,2021,2948.0,,,10.971012757930612
E_5T8_FOREIGN_ORG40505,"Etudiants internationaux dans le pays d'accueil d'Asie centrale, les deux sexes (nombre)",WSM,Samoa,2017,2017,,n,Chiffre nul ou négligeable,18.379449074988038
E_5T8_FOREIGN_ORG40505,"Etudiants internationaux dans le pays d'accueil d'Asie centrale, les deux sexes (nombre)",WSM,Samoa,2018,2018,,n,Chiffre nul ou négligeable,10.960984078939632
E_5T8_FOREIGN_ORG40505,"Etudiants internationaux dans le pays d'accueil d'Asie centrale, les deux sexes (nombre)",WSM,Samoa,2019,2019,,n,Chiffre nul ou négligeable,19.764594650133958
E_5T8_FOREIGN_ORG40505,"Etudiants internationaux dans le pays d'accueil d'Asie centrale, les deux sexes (nombre)",WSM,Samoa,2020,2020,,n,Chiffre nul ou négligeable,14.686512016477016
E_5T8_FOREIGN_ORG40505,"Etudiants internationaux dans le pays d'accueil d'Asie centrale, les deux sexes (nombre)",WSM,Samoa,2021,2021,,n,Chiffre nul ou négligeable,19.767610881903373
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",VNM,Viet Nam,2017,2017,3947.0,,,16.04845519745046
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",VNM,Viet Nam,2019,2019,7045.0,,,17.39263579398302
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",VNM,Viet Nam,2020,2020,8200.0,,,10.391877922543207
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",VNM,Viet Nam,2021,2021,7892.0,,,12.828069625764096
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",VNM,Viet Nam,2022,2022,7287.0,,,11.201965612131689
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",ECU,Équateur,2018,2018,4220.0,,,12.961401975221449
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",ECU,Équateur,2019,2019,4295.0,,,11.18727718954244
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",ECU,Équateur,2020,2020,3560.0,,,13.17983179393976
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",CMR,Cameroun,2017,2017,,n,Chiffre nul ou négligeable,14.1426299451467
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",CMR,Cameroun,2018,2018,3.0,,,10.641474963487843
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",KGZ,Kirghizistan,2017,2017,1574.0,,,16.9247211937002
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",KGZ,Kirghizistan,2018,2018,2161.0,,,15.666014542065751
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",KGZ,Kirghizistan,2019,2019,2133.0,,,12.653894909394454
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",KGZ,Kirghizistan,2020,2020,2379.0,,,15.232480534666998
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",KGZ,Kirghizistan,2021,2021,2560.0,,,10.939405107584417
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",KGZ,Kirghizistan,2022,2022,2176.0,,,15.759464955561793
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",BWA,Botswana,2017,2017,24.0,,,19.29296197576214
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",BWA,Botswana,2019,2019,15.0,,,13.185689524513236
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",BWA,Botswana,2020,2020,4.0,,,16.674103799636818
E_5T8_FOREIGN_ORG40500,"Etudiants internationaux dans le pays d'accueil d'Amérique du Nord et de l'Europe occidentale, les deux sexes (nombre)",BWA,Botswana,2021,2021,2.0,,,11.317978624043922
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",NOR,Norvège,2017,2017,1130.0,,,17.163272041185657
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",NOR,Norvège,2018,2018,1603.0,,,12.894060929472012
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",NOR,Norvège,2019,2019,1217.0,,,11.831913620071168
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",NOR,Norvège,2020,2020,1807.0,,,15.865129348100831
E_5T8_FOREIGN_ORG40515,"Etudiants internationaux dans le pays d'accueil d'Asie orientale et Pacifique, les deux sexes (nombre)",NOR,Norvège,2021,2021,1754.0,,,10.201075461874936
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",OMN,Oman,2017,2017,2.0,,,18.28940029217363
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",OMN,Oman,2018,2018,1.0,,,10.04695476192547
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",OMN,Oman,2019,2019,1.0,,,16.778165367962302
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",OMN,Oman,2020,2020,8.0,,,12.700079731921647
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",OMN,Oman,2021,2021,4.0,,,17.35194022122595
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",KHM,Cambodge,2021,2021,,n,Chiffre nul ou négligeable,19.621885451174382
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",ZAF,Afrique du Sud,2017,2017,679.0,,,12.48753143519958
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",ZAF,Afrique du Sud,2018,2018,676.0,,,15.76157334417837
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",ZAF,Afrique du Sud,2019,2019,648.0,,,15.92041931271839
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",ZAF,Afrique du Sud,2020,2020,552.0,,,15.722519057908734
E_5T8_FOREIGN_ORG40525,"Etudiants internationaux dans le pays d'accueil des Etats arabes, les deux sexes (nombre)",ZAF,Afrique du Sud,2021,2021,532.0,,,12.230816326406183
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",MAC,"Chine, région administrative spéciale de Macao",2017,2017,7.0,,,19.52749011516985
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",MAC,"Chine, région administrative spéciale de Macao",2018,2018,11.0,,,14.471253786176273
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",MAC,"Chine, région administrative spéciale de Macao",2019,2019,7.0,,,18.46408672471128
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",MAC,"Chine, région administrative spéciale de Macao",2020,2020,5.0,,,16.99479275317504
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",MAC,"Chine, région administrative spéciale de Macao",2021,2021,4.0,,,12.974369508551337
E_5T8_FOREIGN_ORG40530,"Etudiants internationaux dans le pays d'accueil de l'Europe centrale et orientale, les deux sexes (nombre)",MAC,"Chine, région administrative spéciale de Macao",2022,2022,4.0,,,18.137978197024772
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",40618,Asie (centrale et méridionale),2017,2017,45898.4,,,13.965057408469846
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",40618,Asie (centrale et méridionale),2018,2018,49956.2,,,18.811031971111618
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",40618,Asie (centrale et méridionale),2019,2019,54355.66667,,,15.812728726358587
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",40618,Asie (centrale et méridionale),2020,2020,59983.33333,,,18.81735361854853
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",40618,Asie (centrale et méridionale),2021,2021,63178.0,,,16.925315900777658
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",40630,Amérique Latine et Caraïbes,2018,2018,716.33333,,,17.252542798196405
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",ROU,Roumanie,2017,2017,760.0,,,15.013243819267021
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",ROU,Roumanie,2018,2018,613.0,,,19.56083634723224
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",ROU,Roumanie,2019,2019,591.0,,,16.439901992296374
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",ROU,Roumanie,2020,2020,612.0,,,14.238550485581797
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",ROU,Roumanie,2021,2021,704.0,,,16.063932141279246
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",ARG,Argentine,2017,2017,80938.0,,,10.191931983093335
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",ARG,Argentine,2018,2018,95542.0,,,13.015748166745492
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",ARG,Argentine,2019,2019,106153.0,,,16.60173537492685
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",ARG,Argentine,2020,2020,108457.0,,,12.90077607210444
E_5T8_FOREIGN_ORG40520,"Etudiants internationaux dans le pays d'accueil d'Amérique latine et des Caraïbes, les deux sexes (nombre)",ARG,Argentine,2021,2021,111155.0,,,16.180154289988415
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",MLT,Malte,2017,2017,27.0,,,14.287687009457661
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",MLT,Malte,2018,2018,169.0,,,11.354740642224503
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",MLT,Malte,2019,2019,362.0,,,12.982823259560307
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",MLT,Malte,2020,2020,616.99167,,,15.699649107012648
E_5T8_FOREIGN_ORG40535,"Etudiants internationaux dans le pays d'accueil d'Asie du Sud et de l'Ouest, les deux sexes (nombre)",MLT,Malte,2021,2021,420.0,,,15.908727612481732
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",MNG,Mongolie,2017,2017,,n,Chiffre nul ou négligeable,15.743252488495788
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",MNG,Mongolie,2018,2018,,n,Chiffre nul ou négligeable,16.532008198571337
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",MNG,Mongolie,2019,2019,,n,Chiffre nul ou négligeable,16.52103270001689
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",MNG,Mongolie,2022,2022,,n,Chiffre nul ou négligeable,14.31418435433974
E_5T8_FOREIGN_ORG99000000,"Etudiants internationaux dans le pays d'accueil des régions inconnues, les deux sexes (nombre)",MNG,Mongolie,2023,2023,,n,Chiffre nul ou négligeable,18.96546595851063
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",MDG,Madagascar,2017,2017,,n,Chiffre nul ou négligeable,13.675618700478966
E_5T8_FOREIGN_ORG40540,"Etudiants internationaux dans le pays d'accueil d'Afrique subsaharienne , les deux sexes (nombre)",MDG,Madagascar,2018,2018,,n,Chiffre nul ou négligeable,14.358649252656267
